,,単語,意味,フレーズ,訳,英作問題,和訳問題,
276 ,,capable,能力がある,He is capable of doing the job.,彼はその仕事をする能力がある,He is (    ) of doing the job.,彼はその仕事をする(    ),
277 ,,independent,独立している,He is independent of his parents.,彼は親から独立している。,He is (    ) of his parents.,彼は親から(    )。,
278 ,,positive,積極的な,positive thinking,積極的な考え方,(    ) thinking,(    )考え方,
279 ,,pleasant,楽しい,a pleasant experience,楽しい経験,a (    ) experience,(    )経験,
280 ,,significant,重大な,a significant difference,重大な違い,a (    ) difference,(    )違い,
281 ,,former,前,the former President,前大統領,the (    ) President,(    )大統領,
282 ,,chemical,化学,a chemical reaction,化学反応,a (    ) reaction,(    )反応,
283 ,,upset,動揺している,be upset by the accident,事故で動揺している,be (    ) by the accident,事故で(    ),
284 ,,previous,前の,from the previous year,前の年から,from the (    ) year,(    )年から,
285 ,,calm,冷静で,keep calm,冷静でいる,keep (    ),(    )いる,
286 ,,specific,特定の,a specific individual,特定の個人,a (    ) individual,(    )個人,
287 ,,conscious,意識する,health-conscious Americans,健康を意識するアメリカ人,health-(    ) Americans,健康を(    )アメリカ人,
288 ,,superior,すぐれている,be superior to others,他の人よりすぐれている,be (    ) to others,他の人より(    ),
289 ,,efficient,効率のよい,an efficient use of energy,効率のよいエネルギーの使い方,an (    ) use of energy,(    )エネルギーの使い方,
290 ,,fundamental,基本的,fundamental human rights,基本的人権,(    ) human rights,(    )人権,
291 ,,narrow,狭い,a narrow street,狭い道,a (    ) street,(    )道,
292 ,,reasonable,理にかなった,a reasonable explanation,理にかなった説明,a (    ) explanation,(    )説明,
293 ,,nervous,不安に,feel nervous about the future,将来のことで不安になる,feel (    ) about the future,将来のことで(    )なる,
294 ,,alike,似ている,The brothers look alike.,その兄弟は似ている,The brothers look (    ).,その兄弟は(    ),
295 ,,domestic,家庭内,domestic violence,家庭内暴力,(    ) violence,(    )暴力,
296 ,,negative,否定的な,a negative answer,否定的な答え,a (    ) answer,(    )答え,
297 ,,moral,道徳的な,make a moral judgment,道徳的な判断をする,make a (    ) judgment,(    )判断をする,
298 ,,eager,熱望する,be eager to study in the US,アメリカ留学を熱望する,be (    ) to study in the US,アメリカ留学を(    ),
299 ,,remarkable,すばらしい,the brain's remarkable ability,脳のすばらしい能力,the brain's (    ) ability,脳の(    )能力,
300 ,,evil,悪い,drive away evil spirits,悪い霊を追い払う,drive away (    ) spirits,(    )霊を追い払う,
301 ,,awake,目が覚めて,stay awake all night,夜通し目が覚めている,stay (    ) all night,夜通し(    )いる,
302 ,,aged,年老いた,his aged parents,彼の年老いた父母,his (    ) parents,彼の(    )父母,
303 ,,anxious,心配だ,I am anxious about your health.,君の健康が心配だ,I am (    ) about your health.,君の健康が(    ),
304 ,,tough,たくましい,a tough boxer,たくましいボクサー,a (    ) boxer,(    )ボクサー,
305 ,,nuclear,原子力,nuclear energy,原子力エネルギー,(    ) energy,(    )エネルギー,
306 ,,legal,法律の,the British legal system,イギリスの法律の制度,the British (    ) system,イギリスの(    )制度,
307 ,,curious,好奇心を持つ,be curious about everything,何にでも好奇心を持つ,be (    ) about everything,何にでも(    ),
308 ,,civil,市民,civil rights,市民権,(    ) rights,(    )権,
309 ,,recent,最近の,according to a recent study,最近の研究によると,according to a (    ) study,(    )研究によると,
310 ,,senior,先輩の,a senior member of the club,クラブの先輩の部員,a (    ) member of the club,クラブの(    )部員,
311 ,,afterward,その後,"Soon afterward, he left.",その後すぐ彼は去った,"Soon (    ), he left.",(    )すぐ彼は去った,
312 ,,nearly,近く,nearly 30 years ago,30年近く前に,(    ) 30 years ago,30年(    )前に,
313 ,,therefore,それゆえ,The car is small and therefore cheap.,その車は小さい。それゆえ、安い。,The car is small and (    ) cheap.,その車は小さい。(    )、安い。,
314 ,,exactly,ぴったり,at exactly the same time,ぴったり同時に,at (    ) the same time,(    )同時に,
315 ,,possibly,ひょっとすると,He will possibly come.,ひょっとすると彼は来るかもしれない,He will (    ) come.,(    )彼は来るかもしれない,
316 ,,contrary,反して,contrary to expectations,予想に反して,(    ) to expectations,予想に(    ),
317 ,,occasionally,たまに,I occasionally go to the theater.,私はたまに劇場に行く,I (    ) go to the theater.,私は(    )劇場に行く,
318 ,,somehow,なぜか,Somehow I feel lonely.,なぜか寂しい,(    ) I feel lonely.,(    )寂しい,
319 ,,seldom,めったにない,I seldom see him.,彼に会うことはめったにない,I (    ) see him.,彼に会うことは(    ),
320 ,,thus,したがって,This is smaller and thus cheaper.,この方が小さく、したがって安い,This is smaller and (    ) cheaper.,この方が小さく、(    )安い,
321 ,,throughout,中の,people throughout the world,世界中の人々,people (    ) the world,世界(    )人々,
322 ,,unlike,と違って,"Unlike my wife, I get up early.",妻と違って私は早起きだ,"(    ) my wife, I get up early.",妻(    )私は早起きだ,
323 ,,besides,の上に,"Besides being rich, he is kind.",彼は金持ちの上にやさしい,"(    ) being rich, he is kind.",彼は金持ち(    )やさしい,
324 ,,beyond,をこえて,It's beyond my understanding.,私の理解をこえている,It's (    ) my understanding.,私の理解(    )いる,
325 ,,within,以内で,within a mile of the station,駅から１マイル以内で,(    ) a mile of the station,駅から１マイル(    ),
326 ,,neither,ない,have neither time nor money,時間もお金もない,have (    ) time nor money,時間もお金も(    ),
327 ,,unless,ない限り,I'll leave tomorrow unless it rains.,明日雨が降らない限り出発する,I'll leave tomorrow (    ) it rains.,明日雨が降ら(    )出発する,
328 ,,except,以外,work every day except Sunday,日曜以外毎日働く,work every day (    ) Sunday,日曜(    )毎日働く,
329 ,,ought,べきだ,You ought to see a doctor.,君は医者に診てもらうべきだ,You (    ) to see a doctor.,君は医者に診てもらう(    ),
330 ,,in spite of,にもかかわらず,in spite of difficulties,困難にもかかわらず,(    ) difficulties,困難(    ),
331 ,,whether,かどうか,I don't know whether it is true or not.,本当かどうかわからない,I don't know (    ) it is true or not.,本当(    )わからない,
332 ,,explain,を説明する,explain why he was late,彼がなぜ遅れたかを説明する,(    ) why he was late,彼がなぜ遅れたか(    ),
333 ,,accept,を受け入れる,accept the truth as it is,ありのまま真実を受け入れる,(    ) the truth as it is,ありのまま真実(    ),
334 ,,produce,を生産する,produce enough food,十分な食料を生産する,(    ) enough food,十分な食料(    ),
335 ,,exist,存在する,Does God really exist?,神は本当に存在するのか,Does God really (    )?,神は本当に(    )のか,
336 ,,express,表現する,express my feelings,私の気持ちを表現する,(    ) my feelings,私の気持ちを(    ),
337 ,,add,を加える,add some milk to the soup,スープにミルクを加える,(    ) some milk to the soup,スープにミルク(    ),
338 ,,avoid,を避ける,avoid making mistakes,まちがいを犯すのを避ける,(    ) making mistakes,まちがいを犯すの(    ),
339 ,,marry,と結婚する,marry Mary,メアリと結婚する,(    ) Mary,メアリ(    ),
340 ,,protect,を守る,protect children from danger,危険から子どもたちを守る,(    ) children from danger,危険から子どもたち(    ),
341 ,,affect,に影響する,Alcohol affects the brain.,アルコールは脳に影響する,Alcohol (    ) the brain.,アルコールは脳(    ),
342 ,,determine,を決定する,determine your future,君の未来を決定する,(    ) your future,君の未来(    ),
343 ,,solve,を解決する,solve the problem,問題を解決する,(    ) the problem,問題(    ),
344 ,,contain,を含んでいる,Vegetables contain a lot of water.,野菜はたくさんの水を含んでいる,Vegetables (    ) a lot of water.,野菜はたくさんの水(    ),
345 ,,discuss,を議論する,discuss the problem with him,彼とその問題を議論する,(    ) the problem with him,彼とその問題(    ),
346 ,,ignore,を無視する,ignore the doctor's advice,医者の忠告を無視する,(    ) the doctor's advice,医者の忠告(    ),
347 ,,guess,を推測する,guess how old she is,彼女の年を推測する,(    ) how old she is,彼女の年(    ),
348 ,,exchange,交換する,exchange yen for dollars,円をドルに交換する,(    ) yen for dollars,円をドルに(    ),
349 ,,satisfy,を満たす,satisfy the needs of students,学生の要求を満たす,(    ) the needs of students,学生の要求(    ),
350 ,,complain,苦情を言う,complain about the noise,騒音のことで苦情を言う,(    ) about the noise,騒音のことで(    ),
351 ,,achieve,を達成する,finally achieve the goal,ついに目標を達成する,finally (    ) the goal,ついに目標(    ),
352 ,,enable,可能にする,enable people to live longer,人々の長寿を可能にする,(    ) people to live longer,人々の長寿を(    ),
353 ,,intend,つもりだ,intend to live in America,アメリカに住むつもりだ,(    ) to live in America,アメリカに住む(    ),
354 ,,obtain,を得る,obtain information about him,彼に関する情報を得る,(    ) information about him,彼に関する情報(    ),
355 ,,divide,分割する,divide the cake into six pieces,ケーキを6個に分割する,(    ) the cake into six pieces,ケーキを6個に(    ),
356 ,,annoy,をいらだたせる,The noise annoys me.,その音が私をいらだたせる,The noise (    ) me.,その音が私(    ),
